Date,USDINR,USDJPY,USDGBP,USDEUR,USDCHF
2016-07,-6.11,0.49,-0.11,0.39,0.59
2016-08,-6.1,0.5,0.15,0.4,0.5
2016-09,-6.1,0.5,0.15,0.4,0.6
2016-10,-5.85,0.5,0.15,0.4,0.6
2016-11,-5.84,0.51,0.16,0.41,0.71
2016-12,-5.71,0.64,0.29,0.54,0.54
2017-01,-5.6,0.75,0.4,0.65,0.35
2017-02,-5.59,0.76,0.41,0.66,0.06
2017-03,-5.46,0.89,0.54,0.79,0.19
2017-04,-5.35,1.0,0.65,0.9,0.5
2017-05,-5.34,1.01,0.66,0.91,0.41
2017-06,-5.21,1.14,0.79,1.04,0.84
2017-07,-5.1,1.25,0.9,1.15,0.85
2017-08,-4.84,1.26,0.91,1.16,0.66
2017-09,-4.85,1.25,0.9,1.15,0.45
2017-10,-4.85,1.25,0.9,1.15,0.45
2017-11,-4.84,1.26,0.66,1.16,0.36
2017-12,-4.7,1.4,0.8,1.3,0.5
2018-01,-4.59,1.51,0.91,1.41,0.71
2018-02,-4.58,1.52,0.92,1.42,0.82
2018-03,-4.49,1.61,1.01,1.51,0.71
2018-04,-4.31,1.79,1.19,1.69,0.89
2018-05,-4.3,1.8,1.2,1.7,0.7
2018-06,-4.43,1.92,1.32,1.82,0.72
2018-07,-4.34,2.01,1.41,1.91,0.71
2018-08,-4.59,2.01,1.16,1.91,0.71
2018-09,-4.55,2.05,1.2,1.95,0.95
2018-10,-4.31,2.29,1.44,2.19,1.09
2018-11,-4.3,2.3,1.45,2.2,1.3
2018-12,-4.23,2.37,1.52,2.27,1.57
2019-01,-4.1,2.5,1.65,2.4,1.8
2019-02,-3.85,2.5,1.65,2.4,1.8
2019-03,-3.84,2.51,1.66,2.41,1.71
2019-04,-3.58,2.52,1.67,2.42,1.72
2019-05,-3.61,2.49,1.64,2.39,1.79
2019-06,-3.37,2.48,1.63,2.38,1.78
2019-07,-3.35,2.5,1.65,2.4,3.15
2019-08,-3.27,2.23,1.38,2.13,2.88
2019-09,-3.36,2.14,1.29,2.04,2.79
2019-10,-3.32,1.93,1.08,1.83,2.58
2019-11,-3.6,1.65,0.8,1.55,2.3
2019-12,-3.6,1.65,0.8,1.55,2.3
2020-01,-3.6,1.65,0.8,1.55,2.3
2020-02,-3.57,1.68,0.83,1.58,2.33
2020-03,-3.75,0.75,0.55,0.65,1.4
2020-04,-4.35,0.15,-0.05,0.05,0.8
2020-05,-3.95,0.15,-0.05,0.05,0.8
2020-06,-3.92,0.18,-0.02,0.08,0.83
2020-07,-3.91,0.19,-0.01,0.09,0.84
2020-08,-3.9,0.2,0.0,0.1,0.85
